file_grid,file_scenario,file_period,geo_name,cent_lat,cent_long,ensmean,ensmax,ensmin
AUS-44,rcp45,2050,6230,-33.379793,115.6488798,18.03,20.1,12.1
AUS-44,rcp45,2050,6232,-33.310889,115.7207238,19.73,21.95,13.15
AUS-44,rcp45,2050,6233,-33.2060459,115.7293499,19.73,21.95,13.15
AUS-44,rcp45,2050,6236,-33.4337545,115.8665663,20.59,23.4,14.77
AUS-44,rcp45,2050,6237,-33.505198300000004,115.6738439,18.03,20.1,12.1
AUS-44,rcp45,2050,6239,-33.5945194,115.8922229,20.87,23.88,15.32
AUS-44,rcp45,2050,6240,-33.5342171,115.9649299,18.03,20.48,12.72
AUS-44,rcp45,2050,6243,-33.7118798,116.1783098,19.73,22.7,14.4
AUS-44,rcp45,2050,6244,-33.9225091,116.5867354,18.86,22.63,14.32
AUS-44,rcp45,2050,6251,-33.7245747,115.8721028,18.03,20.48,12.72
AUS-44,rcp45,2050,6252,-33.7524285,115.9399002,18.03,20.48,12.72
AUS-44,rcp45,2050,6253,-33.8052051,115.9859745,14.68,17,10.5
AUS-44,rcp45,2050,6254,-33.8468641,116.0446146,19.73,22.7,14.4
AUS-44,rcp45,2050,6255,-33.8695497,116.2332099,14.85,17.94,10.77
AUS-44,rcp45,2050,6256,-34.0657296,116.200924,13.55,16.12,9.73
AUS-44,rcp45,2050,6258,-34.3422724,116.3485978,8.38,10.38,6.23
AUS-44,rcp45,2050,6260,-34.4178767,115.8547441,7.59,8.92,4.9
AUS-44,rcp45,2050,6262,-34.6848099,116.2306368,5.89,7.08,4.23
AUS-44,rcp45,2050,6271,-33.5865402,115.5942664,16.33,18.25,11.05
AUS-44,rcp45,2050,6275,-34.0325137,115.6510285,13.31,15.23,9.12
AUS-44,rcp45,2050,6280,-33.7206374,115.3031766,8.58,9.82,5.52
AUS-44,rcp45,2050,6282,-33.6892582,115.0502901,1.85,2.55,1.05
AUS-44,rcp45,2050,6284,-33.8620629,115.3182991,8.58,9.82,5.52
AUS-44,rcp45,2050,6285,-33.9996298,115.2818024,4.71,5.6,2.75
